,tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TotalCharges_Tenure_Ratio
327,2,1,30,1,70.35,139.05,1,69.525
328,28,0,30,1,35.9,973.65,0,34.77321428571428
329,17,1,30,4,82.65,1470.05,0,86.4735294117647
330,35,1,730,2,19.85,739.35,0,21.124285714285715
331,8,1,365,2,19.2,161.95,0,20.24375
333,7,1,30,1,73.85,511.25,1,73.03571428571429
334,2,1,30,2,80.6,155.8,1,77.9
338,36,1,30,4,94.8,3565.65,0,99.04583333333333
340,32,1,30,3,54.65,1830.1,0,57.190625
344,41,1,365,4,20.25,865.0,0,21.097560975609756
345,1,1,30,1,72.1,72.1,0,72.1
346,2,1,30,1,90.4,168.2,1,84.1
348,23,0,30,1,44.95,996.85,0,43.34130434782609
350,37,1,730,4,62.8,2278.75,0,61.58783783783784
351,17,1,365,2,44.6,681.4,0,40.08235294117647
352,7,1,30,1,89.15,574.35,0,82.05
353,4,1,30,3,84.8,371.9,1,92.975
354,21,0,30,1,41.9,840.1,1,40.00476190476191
355,10,1,30,3,80.25,846.0,1,84.6
356,16,1,30,1,54.1,889.0,0,55.5625
358,27,0,30,4,30.75,805.1,1,29.81851851851852
359,42,1,365,1,97.1,4016.75,0,95.63690476190476
360,5,1,30,2,20.2,83.75,0,16.75
362,58,1,365,4,50.3,2878.55,0,49.630172413793105
363,47,1,730,2,20.55,945.7,0,20.121276595744682
364,18,1,30,3,75.9,1373.05,0,76.28055555555555
365,5,1,30,3,96.5,492.55,1,98.51
366,23,1,30,3,59.95,1406.0,0,61.130434782608695
367,1,1,30,2,19.15,19.15,0,19.15
370,33,1,365,2,20.6,690.25,0,20.916666666666668
371,2,1,30,1,85.65,181.5,1,90.75
372,24,0,730,2,35.75,830.8,0,34.61666666666667
374,37,1,30,4,96.1,3646.8,0,98.56216216216217
375,43,1,365,4,85.1,3662.25,0,85.1686046511628
376,1,0,30,2,25.35,25.35,0,25.35
379,17,1,365,1,86.75,1410.25,0,82.95588235294117
380,41,1,365,3,86.2,3339.05,0,81.44024390243902
381,1,1,30,2,50.65,50.65,1,50.65
383,1,1,30,4,90.85,90.85,1,90.85
385,11,1,30,2,19.95,214.75,1,19.522727272727273
387,42,0,365,1,54.75,2348.45,0,55.915476190476184
388,44,1,30,2,90.4,4063.0,0,92.3409090909091
389,1,1,30,1,44.0,44.0,0,44.0
390,27,1,30,3,95.6,2595.25,0,96.12037037037037
391,27,1,30,3,84.8,2309.55,0,85.53888888888889
392,2,1,30,1,44.3,89.3,0,44.65
393,19,1,30,2,19.9,367.55,0,19.344736842105263
394,42,1,30,1,95.05,3944.5,0,93.91666666666667
397,34,1,30,4,73.95,2524.45,1,74.24852941176471
398,33,0,30,1,54.6,1803.7,0,54.657575757575756
399,23,1,365,2,20.05,415.1,0,18.047826086956523
400,32,1,365,3,19.75,624.15,0,19.5046875
401,11,1,365,4,20.05,237.7,0,21.60909090909091
404,20,1,730,2,19.7,419.4,0,20.97
407,32,1,30,2,93.95,2861.45,0,89.4203125
408,1,1,30,2,19.9,19.9,1,19.9
409,1,1,30,2,19.6,19.6,1,19.6
410,3,1,30,1,81.35,233.7,1,77.89999999999999
411,46,1,365,3,24.45,1066.15,0,23.17717391304348
412,29,1,30,1,74.95,2149.05,0,74.10517241379311
414,48,1,30,3,70.65,3545.05,0,73.85520833333334
415,16,1,30,3,73.25,1195.75,0,74.734375
417,40,1,730,2,24.8,1024.7,0,25.6175
418,22,1,30,1,83.3,1845.9,1,83.90454545454546
419,1,1,30,3,75.3,75.3,1,75.3
420,5,1,30,2,24.3,132.25,0,26.45
421,7,1,30,3,69.85,515.45,0,73.63571428571429
423,44,1,365,2,25.7,1110.5,0,25.238636363636363
424,10,0,30,3,40.7,449.3,0,44.93
425,55,1,30,3,51.65,2838.55,0,51.61000000000001
427,10,1,30,1,85.95,858.6,0,85.86
428,18,1,30,3,75.6,1395.05,0,77.50277777777778
430,61,1,30,2,19.4,1182.55,1,19.38606557377049
432,2,1,30,1,53.45,119.5,0,59.75
433,12,1,30,3,45.4,518.9,1,43.24166666666667
434,41,1,730,1,19.75,899.45,0,21.93780487804878
435,26,0,30,4,44.45,1183.8,0,45.53076923076923
436,36,1,365,3,20.85,720.05,0,20.001388888888886
438,35,1,30,3,89.85,3161.2,0,90.32
439,1,1,30,2,55.05,55.05,0,55.05
443,18,1,30,1,64.8,1166.7,0,64.81666666666666
444,36,1,30,1,80.4,2937.65,0,81.60138888888889
446,1,1,30,2,69.55,69.55,1,69.55
447,52,1,730,3,25.05,1270.25,0,24.427884615384617
448,8,1,30,1,94.75,759.55,0,94.94375
451,22,1,30,2,69.75,1545.4,0,70.24545454545455
452,60,0,30,3,60.2,3582.4,0,59.70666666666667
453,28,1,30,1,81.05,2227.1,1,79.53928571428571
454,61,1,730,2,24.4,1417.9,0,23.24426229508197
456,28,1,365,3,92.9,2768.35,0,98.86964285714285
457,30,1,730,3,80.8,2369.3,0,78.97666666666667
458,2,1,30,2,20.0,38.0,0,19.0
459,1,1,30,1,75.1,75.1,0,75.1
460,6,1,30,2,19.65,100.9,0,16.816666666666666
461,24,1,30,3,69.45,1614.05,0,67.25208333333333
468,44,1,730,2,19.9,868.1,0,19.729545454545455
469,13,1,30,1,55.95,734.35,1,56.48846153846154
470,17,1,365,2,20.65,330.6,0,19.447058823529414
471,1,1,30,1,55.0,55.0,1,55.0
472,9,1,30,2,70.05,564.4,0,62.71111111111111
473,24,1,30,2,53.6,1315.35,0,54.80625
474,1,1,30,1,74.7,74.7,1,74.7
475,24,1,30,1,80.25,1861.5,1,77.5625
476,35,1,30,1,76.05,2747.2,0,78.49142857142857
477,7,1,30,1,75.7,554.05,0,79.14999999999999
478,5,1,30,1,96.1,453.4,1,90.67999999999999
479,15,1,30,3,69.0,994.8,1,66.32
480,11,1,730,2,19.65,225.75,0,20.522727272727273
481,48,0,30,3,45.3,2145.0,1,44.6875
482,20,1,30,1,81.45,1671.6,0,83.58
484,8,1,30,1,83.55,680.05,1,85.00625
489,1,1,30,1,74.35,74.35,1,74.35
491,2,1,30,1,59.0,114.15,0,57.075
492,2,1,30,1,74.4,139.4,1,69.7
493,61,1,365,3,64.05,3902.6,0,63.97704918032787
494,1,1,30,2,20.4,20.4,0,20.4
495,22,0,365,3,43.75,903.6,1,41.07272727272727
496,28,1,30,2,60.9,1785.65,0,63.77321428571429
498,5,0,30,1,28.45,131.05,1,26.21
505,20,1,30,1,94.1,1782.4,1,89.12
506,11,1,30,2,78.0,851.8,0,77.43636363636364
507,2,1,30,1,94.2,167.5,1,83.75
508,6,1,30,1,80.5,502.85,1,83.80833333333334
509,1,1,30,2,19.85,19.85,0,19.85
510,20,1,365,4,94.3,1818.3,0,90.91499999999999
512,5,1,30,1,74.35,334.8,1,66.96000000000001
514,30,1,30,4,95.0,2852.4,0,95.08
516,28,1,365,2,54.3,1546.3,0,55.225
517,5,1,30,1,70.05,302.6,0,60.52
518,27,1,30,3,75.2,1929.35,1,71.4574074074074
519,12,1,30,4,20.05,265.45,0,22.120833333333334
521,29,1,30,1,51.6,1442.0,0,49.724137931034484
523,23,1,30,3,75.6,1758.6,1,76.4608695652174
528,35,1,730,2,19.6,686.95,0,19.627142857142857
530,24,1,730,4,21.1,490.65,0,20.443749999999998
532,2,1,30,1,79.95,174.45,0,87.225
534,1,1,30,1,85.0,85.0,1,85.0
535,12,1,30,1,89.55,1021.75,0,85.14583333333333
537,33,1,365,2,58.45,1955.4,0,59.25454545454546
541,11,1,30,2,58.95,601.6,0,54.690909090909095
542,1,1,30,2,19.55,19.55,0,19.55
543,10,1,30,3,86.05,834.1,1,83.41
544,13,0,30,4,45.55,597.0,1,45.92307692307692
545,34,1,365,3,78.95,2647.2,0,77.85882352941177
546,39,1,30,2,86.3,3266.0,1,83.74358974358974
549,15,1,30,2,19.75,311.6,0,20.773333333333333
552,55,1,730,3,19.35,1153.25,0,20.96818181818182
553,23,1,730,4,25.6,514.75,0,22.380434782608695
554,32,1,30,3,80.35,2596.15,1,81.1296875
555,56,1,365,3,68.75,3808.0,0,68.0
556,1,1,30,3,19.9,19.9,0,19.9
557,38,1,365,2,70.6,2708.2,0,71.26842105263158
558,11,1,30,1,70.2,760.05,0,69.09545454545454
559,1,1,30,1,49.3,49.3,0,49.3
561,3,1,30,2,23.6,89.05,0,29.683333333333334
562,7,1,30,4,69.7,516.15,0,73.73571428571428
564,7,1,30,3,64.3,445.95,0,63.707142857142856
569,11,0,365,4,40.4,422.6,0,38.41818181818182
570,60,1,730,4,19.25,1103.25,0,18.3875
571,47,1,730,3,59.6,2754.0,0,58.59574468085106
572,11,1,365,4,64.9,697.25,0,63.38636363636363
577,9,1,30,1,70.5,597.9,0,66.43333333333334
578,35,1,30,1,94.55,3365.4,0,96.15428571428572
579,2,1,30,2,19.65,38.8,0,19.4
580,12,1,30,2,19.0,233.55,1,19.462500000000002
581,1,1,30,2,75.3,75.3,1,75.3
582,4,1,30,1,89.2,346.2,1,86.55
583,1,1,30,2,19.0,19.0,0,19.0
584,3,1,30,2,20.0,61.7,0,20.566666666666666
585,1,1,30,1,85.7,85.7,1,85.7
586,52,1,730,4,63.25,3342.45,0,64.27788461538461
587,5,1,365,2,20.1,85.1,0,17.02
591,46,1,365,1,24.9,1174.8,0,25.539130434782606
593,30,1,30,4,84.3,2438.6,0,81.28666666666666
594,1,1,30,2,45.6,45.6,0,45.6
595,12,1,30,2,61.65,713.75,1,59.479166666666664
596,16,0,730,2,54.85,916.15,0,57.259375
597,4,1,30,2,65.55,237.2,0,59.3
600,16,1,30,4,74.55,1170.5,0,73.15625
601,2,1,365,2,19.95,47.7,0,23.85
606,38,1,730,4,81.0,3084.9,0,81.18157894736842
607,51,1,365,4,47.85,2356.75,0,46.21078431372549
610,9,0,30,1,29.95,248.95,1,27.66111111111111
611,9,1,30,2,65.0,663.05,1,73.67222222222222
614,50,1,730,3,69.5,3418.2,0,68.36399999999999
615,15,1,30,2,48.85,631.4,0,42.093333333333334
616,8,0,30,4,25.25,186.3,0,23.2875
619,7,1,30,3,78.55,522.95,0,74.70714285714287
620,10,0,30,3,34.55,362.6,0,36.260000000000005
622,40,1,365,1,85.05,3355.65,0,83.89125
623,20,1,730,2,19.7,406.95,0,20.3475
624,7,1,30,3,20.0,137.6,1,19.657142857142855
625,25,1,30,1,95.15,2395.7,0,95.82799999999999
626,23,1,30,1,84.25,1968.1,0,85.5695652173913
631,46,1,30,3,55.0,2473.95,0,53.78152173913043
633,10,1,365,2,20.35,176.3,0,17.630000000000003
634,40,0,365,3,54.55,2236.2,0,55.904999999999994
639,10,1,30,1,85.25,855.3,1,85.53
641,43,1,30,1,56.15,2499.3,1,58.12325581395349
642,1,1,30,1,89.55,89.55,1,89.55
643,49,1,365,3,89.85,4287.2,0,87.4938775510204
644,15,1,30,1,25.25,394.85,0,26.323333333333334
645,20,1,30,1,94.55,1899.65,1,94.9825
646,1,1,30,2,45.7,45.7,1,45.7
647,50,1,365,1,69.65,3442.15,0,68.843
648,2,1,30,1,89.5,161.5,1,80.75
649,24,1,30,4,70.0,1732.6,0,72.19166666666666
650,3,1,30,3,69.55,222.3,1,74.10000000000001
651,1,1,30,2,74.6,74.6,1,74.6
652,35,1,730,2,20.1,655.3,0,18.72285714285714
653,17,1,30,2,24.8,475.25,0,27.955882352941178
654,8,1,30,1,19.65,164.3,1,20.5375
655,10,1,30,4,95.1,865.1,0,86.51
657,45,1,365,3,78.8,3597.5,0,79.94444444444444
658,2,1,365,2,19.85,35.9,1,17.95
659,37,1,30,3,20.35,697.65,0,18.855405405405406
660,4,0,30,2,24.25,96.05,1,24.0125
661,10,1,30,2,45.25,428.7,0,42.87
662,1,1,30,2,20.05,20.05,0,20.05
664,57,1,730,3,19.5,1167.6,0,20.48421052631579
665,3,1,30,2,74.75,238.1,0,79.36666666666666
666,2,1,30,1,69.65,145.15,1,72.575
667,49,0,30,3,30.2,1453.1,0,29.655102040816324
668,4,1,30,2,45.65,191.05,1,47.7625
670,53,1,365,3,19.85,1039.45,0,19.612264150943396
671,53,1,730,4,25.55,1336.1,0,25.20943396226415
672,1,1,30,2,75.05,75.05,1,75.05
673,22,1,30,4,24.85,493.4,0,22.427272727272726
674,52,0,30,1,49.15,2550.9,1,49.05576923076923
676,48,1,365,3,24.55,1203.95,0,25.082291666666666
677,2,0,30,1,34.7,62.25,1,31.125
679,45,1,30,3,81.4,3775.85,0,83.90777777777778
680,1,1,30,1,80.0,80.0,1,80.0
682,3,1,30,4,64.4,195.65,0,65.21666666666667
684,1,1,30,2,71.1,71.1,0,71.1
685,1,1,30,1,49.9,49.9,0,49.9
686,51,1,365,3,24.6,1266.4,0,24.83137254901961
687,2,1,30,1,49.25,91.1,1,45.55
688,52,0,365,2,30.1,1623.4,0,31.21923076923077
689,51,1,30,3,83.4,4149.45,0,81.36176470588235
690,1,1,30,2,20.45,20.45,0,20.45
691,31,1,365,3,75.25,2344.5,0,75.62903225806451
692,47,1,365,4,20.55,1013.05,0,21.554255319148936
693,3,1,30,4,75.1,270.7,1,90.23333333333333
694,22,1,365,2,20.05,417.0,0,18.954545454545453
695,1,1,30,2,20.65,20.65,0,20.65
697,3,1,30,1,50.15,168.15,1,56.050000000000004
698,47,1,365,3,84.95,4018.05,0,85.4904255319149
701,35,1,30,1,83.15,2848.45,0,81.38428571428571
702,29,1,30,1,84.9,2516.2,0,86.7655172413793
703,2,1,30,2,20.55,33.6,0,16.8
704,4,1,30,2,49.25,208.45,0,52.1125
705,25,1,30,3,79.85,2015.35,1,80.61399999999999
708,29,1,30,4,75.3,2263.4,0,78.04827586206896
709,29,1,30,4,80.1,2211.8,0,76.26896551724138
710,1,1,30,2,19.55,19.55,1,19.55
711,20,1,30,2,81.0,1683.7,0,84.185
712,58,1,730,4,24.7,1519.0,0,26.189655172413794
713,14,1,30,2,86.0,1164.05,0,83.14642857142857
715,46,1,30,4,89.15,4245.55,0,92.29456521739131
717,32,1,30,3,85.65,2664.3,0,83.259375
718,26,0,30,4,50.35,1277.5,0,49.13461538461539
720,2,1,365,2,20.2,34.75,0,17.375
721,61,1,730,4,20.55,1305.95,0,21.409016393442624
722,4,1,30,1,85.95,381.3,1,95.325
723,3,1,30,1,45.35,141.5,1,47.166666666666664
724,33,1,30,1,94.5,3105.55,1,94.10757575757576
725,9,1,30,2,21.25,204.55,0,22.727777777777778
726,22,1,730,2,26.25,605.9,0,27.54090909090909
727,5,1,30,1,80.85,356.1,0,71.22
728,30,1,30,4,91.7,2758.15,1,91.93833333333333
730,45,1,30,1,87.25,3941.7,1,87.59333333333333
731,5,1,30,2,20.35,92.75,0,18.55
732,25,1,30,1,75.5,1901.05,0,76.042
734,27,1,30,3,90.15,2423.4,0,89.75555555555556
735,32,0,30,4,50.6,1653.45,0,51.6703125
738,42,1,30,3,79.35,3344.1,0,79.62142857142857
740,47,1,730,2,65.0,2879.9,0,61.274468085106385
741,2,1,30,1,80.45,137.1,0,68.55
743,61,1,730,2,24.1,1551.6,0,25.43606557377049
744,5,1,30,4,44.05,202.15,0,40.43
747,3,1,30,2,75.05,202.9,0,67.63333333333334
748,48,1,730,2,19.25,855.1,0,17.814583333333335
750,27,1,30,2,56.7,1652.95,0,61.220370370370375
752,7,1,30,4,71.35,515.75,0,73.67857142857143
754,2,1,30,1,90.35,190.5,0,95.25
757,3,1,30,2,19.85,57.2,0,19.066666666666666
758,15,1,30,3,85.9,1269.55,1,84.63666666666667
760,1,1,30,2,20.8,20.8,0,20.8
761,22,1,30,1,89.25,1907.85,1,86.72045454545454
762,3,1,30,1,70.3,208.85,1,69.61666666666666
